DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
23/03/2026,117.0,117.0,111.1,112.4,443351.0
23/03/2026,117.0,117.0,111.1,112.4,443351.0
24/03/2026,117.4,117.4,112.62,115.1,438959.0
24/03/2026,117.4,117.4,112.62,115.1,438959.0
25/03/2026,115.45,120.06,115.4,118.41,641272.0
25/03/2026,115.45,120.06,115.4,118.41,641272.0
27/03/2026,119.6,120.24,112.01,115.33,931951.0
30/03/2026,114.5,115.36,110.07,111.0,470939.0
01/04/2026,115.25,118.35,114.9,116.67,299335.0
01/04/2026,115.25,118.35,114.9,116.67,299335.0
02/04/2026,113.81,118.85,113.0,118.2,252219.0
